Date,PM2.5,PM10,NO2,O3
2022-01-01 00:00:00,18.83,35.39,22.56,47.22
2022-01-01 01:00:00,11.03,16.8,20.44,45.27
2022-01-01 02:00:00,22.57,39.35,20.71,42.6
2022-01-01 03:00:00,24.99,44.04,20.91,34.69
2022-01-01 04:00:00,9.29,17.65,19.17,37.43
2022-01-01 05:00:00,15.12,28.65,19.56,39.34
2022-01-01 06:00:00,25.77,34.4,31.86,32.89
2022-01-01 07:00:00,25.17,32.96,31.79,15.17
2022-01-01 08:00:00,28.9,45.9,25.89,25.66
2022-01-01 09:00:00,25.54,40.71,35.99,26.44
2022-01-01 10:00:00,37.2,55.35,34.55,34.46
2022-01-01 11:00:00,37.39,61.76,32.62,26.1
2022-01-01 12:00:00,33.4,60.7,29.07,26.26
2022-01-01 13:00:00,39.49,72.69,37.5,41.13
2022-01-01 14:00:00,34.73,66.87,45.33,39.88
2022-01-01 15:00:00,25.5,30.28,35.87,40.14
2022-01-01 16:00:00,31.21,40.64,40.19,45.94
2022-01-01 17:00:00,21.32,31.79,33.18,42.14
2022-01-01 18:00:00,30.27,49.08,37.61,54.01
2022-01-01 19:00:00,22.63,34.3,30.8,52.67
2022-01-01 20:00:00,19.89,27.4,17.97,58.2
2022-01-01 21:00:00,15.26,21.98,24.84,53.26
2022-01-01 22:00:00,25.41,44.52,27.66,53.2
2022-01-01 23:00:00,16.35,15.52,31.17,47.87
2022-01-02 00:00:00,14.6,42.11,24.04,45.97
2022-01-02 01:00:00,15.33,24.7,24.35,37.1
2022-01-02 02:00:00,21.44,42.71,21.06,46.19
2022-01-02 03:00:00,21.71,30.09,32.01,35.87
2022-01-02 04:00:00,23.65,42.43,32.31,20.57
2022-01-02 05:00:00,25.69,41.9,22.38,19.88
2022-01-02 06:00:00,38.02,67.69,19.42,33.23
2022-01-02 07:00:00,24.8,38.1,19.41,25.25
2022-01-02 08:00:00,26.1,54.17,33.02,24.88
2022-01-02 09:00:00,25.95,29.58,32.23,25.49
2022-01-02 10:00:00,35.8,64.87,29.09,29.93
2022-01-02 11:00:00,39.67,64.43,35.6,38.58
2022-01-02 12:00:00,32.49,43.83,29.04,35.17
2022-01-02 13:00:00,27.86,60.19,39.77,37.96
2022-01-02 14:00:00,27.15,58.23,34.09,36.57
2022-01-02 15:00:00,34.73,38.98,30.39,34.63
2022-01-02 16:00:00,33.63,55.22,33.36,50.35
2022-01-02 17:00:00,30.5,54.45,32.24,53.94
2022-01-02 18:00:00,21.18,37.42,34.83,59.59
2022-01-02 19:00:00,24.49,51.32,37.38,64.76
2022-01-02 20:00:00,21.87,45.46,35.57,48.04
2022-01-02 21:00:00,20.83,35.45,29.25,50.8
2022-01-02 22:00:00,23.47,55.77,26.06,57.0
